order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Status
1,259,4,01-01-2016,03-01-2016,03-01-2016,1,2,Delivered 
2,1212,4,01-01-2016,04-01-2016,03-01-2016,2,6,Delivered 
3,523,4,02-01-2016,05-01-2016,03-01-2016,2,7,Delivered 
4,175,4,03-01-2016,04-01-2016,05-01-2016,1,3,Delivered 
5,1324,4,03-01-2016,06-01-2016,06-01-2016,2,6,Delivered 
6,94,4,04-01-2016,07-01-2016,05-01-2016,2,6,Delivered 
7,324,4,04-01-2016,07-01-2016,05-01-2016,2,6,Delivered 
8,1204,4,04-01-2016,05-01-2016,05-01-2016,2,7,Delivered 
9,60,4,05-01-2016,08-01-2016,08-01-2016,1,2,Delivered 
10,442,4,05-01-2016,06-01-2016,06-01-2016,2,6,Delivered 
11,1326,4,05-01-2016,08-01-2016,07-01-2016,2,7,Delivered 
12,91,4,06-01-2016,08-01-2016,09-01-2016,1,2,Delivered 
13,873,4,08-01-2016,11-01-2016,11-01-2016,2,6,Delivered 
14,258,4,09-01-2016,11-01-2016,12-01-2016,1,3,Delivered 
15,450,4,09-01-2016,10-01-2016,12-01-2016,2,7,Delivered 
16,552,4,12-01-2016,15-01-2016,15-01-2016,1,3,Delivered 
17,1175,4,12-01-2016,14-01-2016,14-01-2016,1,3,Delivered 
18,541,4,14-01-2016,17-01-2016,15-01-2016,1,3,Delivered 
19,696,4,14-01-2016,17-01-2016,16-01-2016,1,2,Delivered 
20,923,4,14-01-2016,16-01-2016,17-01-2016,1,2,Delivered 
21,1250,4,15-01-2016,16-01-2016,18-01-2016,2,6,Delivered 
22,1035,4,16-01-2016,18-01-2016,17-01-2016,1,2,Delivered 
23,1149,4,16-01-2016,19-01-2016,19-01-2016,1,2,Delivered 
24,636,4,18-01-2016,20-01-2016,19-01-2016,2,7,Delivered 
25,657,4,18-01-2016,21-01-2016,21-01-2016,2,6,Delivered 
26,1280,4,18-01-2016,21-01-2016,19-01-2016,2,7,Delivered 
27,57,4,19-01-2016,21-01-2016,20-01-2016,2,7,Delivered 
28,252,4,19-01-2016,20-01-2016,21-01-2016,2,6,Delivered 
29,437,4,20-01-2016,22-01-2016,21-01-2016,2,6,Delivered 
30,1348,4,20-01-2016,21-01-2016,21-01-2016,2,6,Delivered 
31,1238,4,20-01-2016,22-01-2016,22-01-2016,3,8,Delivered 
32,1259,4,21-01-2016,24-01-2016,22-01-2016,1,3,Delivered 
33,236,4,21-01-2016,22-01-2016,22-01-2016,2,6,Delivered 
34,80,4,22-01-2016,25-01-2016,23-01-2016,2,6,Delivered 
35,813,4,22-01-2016,25-01-2016,24-01-2016,2,7,Delivered 
36,1321,4,23-01-2016,24-01-2016,24-01-2016,2,6,Delivered 
37,164,4,25-01-2016,28-01-2016,26-01-2016,2,6,Delivered 
38,583,4,25-01-2016,27-01-2016,26-01-2016,2,7,Delivered 
39,1296,4,25-01-2016,26-01-2016,26-01-2016,2,7,Delivered 
40,348,4,27-01-2016,28-01-2016,29-01-2016,1,3,Delivered 
41,979,4,27-01-2016,30-01-2016,29-01-2016,2,6,Delivered 
42,1095,4,27-01-2016,28-01-2016,30-01-2016,2,7,Delivered 
43,1434,4,27-01-2016,28-01-2016,30-01-2016,2,7,Delivered 
44,861,4,28-01-2016,31-01-2016,30-01-2016,2,7,Delivered 
45,1220,4,28-01-2016,31-01-2016,31-01-2016,2,7,Delivered 
46,746,4,29-01-2016,31-01-2016,31-01-2016,2,7,Delivered 
47,1234,4,29-01-2016,30-01-2016,31-01-2016,2,7,Delivered 
48,1012,4,30-01-2016,01-02-2016,02-02-2016,2,7,Delivered 
49,608,4,31-01-2016,01-02-2016,02-02-2016,2,6,Delivered 
50,872,4,31-01-2016,03-02-2016,02-02-2016,3,8,Delivered 
51,1047,4,01-02-2016,02-02-2016,03-02-2016,2,7,Delivered 
52,767,4,03-02-2016,04-02-2016,05-02-2016,1,2,Delivered 
53,965,4,03-02-2016,04-02-2016,05-02-2016,2,6,Delivered 
54,535,4,04-02-2016,07-02-2016,07-02-2016,2,7,Delivered 
55,1173,4,04-02-2016,07-02-2016,06-02-2016,2,6,Delivered 
56,1241,4,04-02-2016,06-02-2016,07-02-2016,2,6,Delivered 
57,1305,4,04-02-2016,06-02-2016,06-02-2016,2,7,Delivered 
58,504,4,05-02-2016,07-02-2016,07-02-2016,2,6,Delivered 
59,563,4,05-02-2016,07-02-2016,06-02-2016,2,7,Delivered 
60,151,4,06-02-2016,08-02-2016,07-02-2016,1,3,Delivered 
61,277,4,06-02-2016,09-02-2016,09-02-2016,2,7,Delivered 
62,208,4,07-02-2016,10-02-2016,10-02-2016,1,2,Delivered 
63,1075,4,07-02-2016,09-02-2016,09-02-2016,2,7,Delivered 
64,1185,4,07-02-2016,08-02-2016,09-02-2016,2,6,Delivered 
65,996,4,08-02-2016,09-02-2016,11-02-2016,2,6,Delivered 
66,1253,4,09-02-2016,12-02-2016,12-02-2016,2,7,Delivered 
67,526,4,09-02-2016,11-02-2016,10-02-2016,3,8,Delivered 
68,381,4,10-02-2016,11-02-2016,13-02-2016,2,6,Delivered 
69,1413,4,10-02-2016,12-02-2016,11-02-2016,2,7,Delivered 
70,50,3,11-02-2016,11-02-2016,NULL,3,9,Pending 
71,797,4,11-02-2016,14-02-2016,12-02-2016,2,7,Delivered 
72,1386,4,12-02-2016,15-02-2016,13-02-2016,1,2,Delivered 
73,612,4,12-02-2016,15-02-2016,14-02-2016,2,7,Delivered 
74,264,4,13-02-2016,15-02-2016,15-02-2016,2,7,Delivered 
75,587,4,14-02-2016,15-02-2016,17-02-2016,2,6,Delivered 
76,9,3,16-02-2016,16-02-2016,NULL,2,6,Pending 
77,385,4,16-02-2016,19-02-2016,19-02-2016,1,2,Delivered 
78,1182,4,16-02-2016,18-02-2016,19-02-2016,2,7,Delivered 
79,529,4,17-02-2016,20-02-2016,20-02-2016,1,3,Delivered 
80,397,4,17-02-2016,20-02-2016,19-02-2016,2,6,Delivered 
81,521,4,17-02-2016,19-02-2016,18-02-2016,2,6,Delivered 
82,1223,4,18-02-2016,21-02-2016,20-02-2016,2,6,Delivered 
83,393,4,19-02-2016,20-02-2016,20-02-2016,1,3,Delivered 
84,317,4,20-02-2016,22-02-2016,21-02-2016,2,7,Delivered 
85,1174,4,20-02-2016,23-02-2016,21-02-2016,2,7,Delivered 
86,276,4,21-02-2016,22-02-2016,23-02-2016,2,7,Delivered 
87,516,4,21-02-2016,22-02-2016,23-02-2016,2,6,Delivered 
88,1069,4,21-02-2016,22-02-2016,23-02-2016,2,6,Delivered 
89,668,4,21-02-2016,24-02-2016,24-02-2016,3,8,Delivered 
90,414,4,23-02-2016,25-02-2016,24-02-2016,2,7,Delivered 
91,648,4,25-02-2016,27-02-2016,28-02-2016,1,2,Delivered 
92,1309,4,25-02-2016,28-02-2016,28-02-2016,2,7,Delivered 
93,1328,4,26-02-2016,28-02-2016,27-02-2016,1,3,Delivered 
94,929,4,27-02-2016,28-02-2016,29-02-2016,1,2,Delivered 
95,218,4,27-02-2016,29-02-2016,28-02-2016,2,7,Delivered 
96,1094,4,27-02-2016,29-02-2016,28-02-2016,2,7,Delivered 
97,204,4,28-02-2016,29-02-2016,01-03-2016,2,7,Delivered 
98,1194,4,28-02-2016,29-02-2016,29-02-2016,2,6,Delivered 
99,1165,4,29-02-2016,01-03-2016,03-03-2016,3,9,Delivered 
100,1237,4,01-03-2016,04-03-2016,03-03-2016,2,7,Delivered 
101,271,4,01-03-2016,04-03-2016,04-03-2016,3,8,Delivered 
102,336,4,02-03-2016,05-03-2016,03-03-2016,2,7,Delivered 
103,991,4,03-03-2016,06-03-2016,05-03-2016,1,2,Delivered 
104,7,4,03-03-2016,05-03-2016,05-03-2016,2,7,Delivered 
105,306,4,03-03-2016,05-03-2016,04-03-2016,2,7,Delivered 
106,422,4,04-03-2016,05-03-2016,05-03-2016,3,9,Delivered 
107,633,4,06-03-2016,09-03-2016,09-03-2016,1,2,Delivered 
108,12,4,06-03-2016,09-03-2016,07-03-2016,2,6,Delivered 
109,1255,4,06-03-2016,09-03-2016,09-03-2016,2,6,Delivered 
110,677,4,06-03-2016,08-03-2016,09-03-2016,3,9,Delivered 
111,630,4,07-03-2016,10-03-2016,10-03-2016,2,6,Delivered 
112,469,4,08-03-2016,11-03-2016,10-03-2016,2,6,Delivered 
113,1078,4,08-03-2016,11-03-2016,11-03-2016,2,6,Delivered 
114,1431,4,08-03-2016,10-03-2016,11-03-2016,2,7,Delivered 
115,1369,4,09-03-2016,11-03-2016,11-03-2016,2,7,Delivered 
116,471,4,10-03-2016,11-03-2016,11-03-2016,2,7,Delivered 
117,740,4,10-03-2016,13-03-2016,11-03-2016,2,6,Delivered 
118,577,4,12-03-2016,14-03-2016,13-03-2016,1,2,Delivered 
119,925,4,12-03-2016,14-03-2016,14-03-2016,2,7,Delivered 
120,327,4,14-03-2016,15-03-2016,17-03-2016,2,7,Delivered 
121,755,4,14-03-2016,15-03-2016,16-03-2016,2,6,Delivered 
122,786,4,14-03-2016,16-03-2016,15-03-2016,2,6,Delivered 
123,766,4,15-03-2016,18-03-2016,17-03-2016,2,6,Delivered 
124,403,4,16-03-2016,18-03-2016,17-03-2016,1,3,Delivered 
125,685,4,16-03-2016,19-03-2016,17-03-2016,2,6,Delivered 
126,1365,4,16-03-2016,18-03-2016,18-03-2016,2,7,Delivered 
127,484,4,17-03-2016,18-03-2016,19-03-2016,3,8,Delivered 
128,86,4,18-03-2016,20-03-2016,21-03-2016,2,6,Delivered 
129,84,4,19-03-2016,21-03-2016,21-03-2016,2,7,Delivered 
130,1049,4,19-03-2016,22-03-2016,20-03-2016,2,6,Delivered 
131,316,4,19-03-2016,22-03-2016,20-03-2016,3,8,Delivered 
132,46,4,20-03-2016,22-03-2016,23-03-2016,1,3,Delivered 
133,409,4,20-03-2016,22-03-2016,21-03-2016,2,7,Delivered 
134,679,4,20-03-2016,21-03-2016,21-03-2016,2,7,Delivered 
135,1354,4,21-03-2016,23-03-2016,23-03-2016,2,7,Delivered 
136,1192,4,21-03-2016,24-03-2016,23-03-2016,3,8,Delivered 
137,370,4,23-03-2016,26-03-2016,25-03-2016,2,7,Delivered 
138,438,4,23-03-2016,24-03-2016,25-03-2016,2,7,Delivered 
139,710,4,23-03-2016,24-03-2016,26-03-2016,2,7,Delivered 
140,1264,4,23-03-2016,26-03-2016,26-03-2016,2,7,Delivered 
141,557,4,25-03-2016,27-03-2016,26-03-2016,2,7,Delivered 
142,170,4,26-03-2016,27-03-2016,27-03-2016,1,3,Delivered 
143,693,4,26-03-2016,28-03-2016,28-03-2016,2,7,Delivered 
144,1124,4,26-03-2016,29-03-2016,29-03-2016,2,7,Delivered 
145,366,4,27-03-2016,29-03-2016,30-03-2016,2,6,Delivered 
146,288,4,28-03-2016,30-03-2016,30-03-2016,1,3,Delivered 
147,55,4,28-03-2016,31-03-2016,31-03-2016,2,7,Delivered 
148,714,4,28-03-2016,30-03-2016,30-03-2016,2,6,Delivered 
149,763,4,28-03-2016,30-03-2016,29-03-2016,2,6,Delivered 
150,332,4,29-03-2016,31-03-2016,01-04-2016,1,2,Delivered 
151,926,4,29-03-2016,01-04-2016,31-03-2016,1,2,Delivered 
152,76,4,29-03-2016,30-03-2016,30-03-2016,2,6,Delivered 
153,498,4,30-03-2016,02-04-2016,01-04-2016,2,6,Delivered 
154,1286,4,31-03-2016,01-04-2016,01-04-2016,1,2,Delivered 
155,371,4,02-04-2016,03-04-2016,04-04-2016,2,6,Delivered 
156,357,4,03-04-2016,06-04-2016,05-04-2016,1,3,Delivered 
157,43,4,03-04-2016,06-04-2016,06-04-2016,3,8,Delivered 
158,117,3,04-04-2016,04-04-2016,NULL,3,9,Pending 
159,32,4,04-04-2016,06-04-2016,06-04-2016,1,2,Delivered 
160,205,4,04-04-2016,06-04-2016,06-04-2016,2,7,Delivered 
161,251,4,04-04-2016,07-04-2016,05-04-2016,2,7,Delivered 
162,31,4,06-04-2016,08-04-2016,07-04-2016,1,3,Delivered 
163,1325,4,06-04-2016,07-04-2016,07-04-2016,2,7,Delivered 
164,610,4,07-04-2016,08-04-2016,09-04-2016,2,7,Delivered 
165,574,4,08-04-2016,10-04-2016,10-04-2016,1,3,Delivered 
166,338,4,08-04-2016,11-04-2016,11-04-2016,2,6,Delivered 
167,1034,4,08-04-2016,09-04-2016,11-04-2016,2,7,Delivered 
168,1147,4,09-04-2016,12-04-2016,11-04-2016,1,3,Delivered 
169,99,4,10-04-2016,11-04-2016,11-04-2016,2,7,Delivered 
170,1200,4,10-04-2016,11-04-2016,13-04-2016,2,7,Delivered 
